[2026-06-12T00:44:02.642Z] GET http://127.0.0.1:8077/ → 200 (7ms, 13617B)
[2026-06-12T00:44:02.963Z] POST http://127.0.0.1:8077/api/studio/process → 200 (19ms, 84B)
[2026-06-12T00:44:02.982Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (2ms, 217B)
[2026-06-12T00:44:04.191Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (5ms, 233B)
[2026-06-12T00:44:05.441Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (3ms, 233B)
[2026-06-12T00:44:06.633Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (6ms, 233B)
[2026-06-12T00:44:07.842Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (10ms, 233B)
[2026-06-12T00:44:09.085Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (29ms, 233B)
[2026-06-12T00:44:10.317Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (1ms, 233B)
[2026-06-12T00:44:11.518Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (1ms, 233B)
[2026-06-12T00:44:12.721Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (1ms, 233B)
[2026-06-12T00:44:13.924Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (2ms, 234B)
[2026-06-12T00:44:15.128Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (2ms, 234B)
[2026-06-12T00:44:16.333Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (?ms, 234B)
[2026-06-12T00:44:17.535Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (1ms, 234B)
[2026-06-12T00:44:18.765Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (54ms, 234B)
[2026-06-12T00:44:19.978Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (1ms, 234B)
[2026-06-12T00:44:21.181Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (2ms, 234B)
[2026-06-12T00:44:22.385Z] GET http://127.0.0.1:8077/api/tasks/studio_process_zabal-gamez-workshop_8 → 200 (1ms, 234B)
